"All", "Wszystko"
"Search by keyword", "Szukaj po słowie kluczowym"
"This is a required field.", "To jest wymagane pole."
"B2B Features", "Funkcje B2B"
"Invalid Form Key. Please refresh the page.", "Nieprawidłowy klucz formularza. Proszę odświeżyć stronę."
"You entered an invalid Secret Key. Please refresh the page.", "Podałeś nieprawidłowy tajny klucz. Proszę odświeżyć stronę."
"Invalid security or form key. Please refresh the page.", "Nieprawidłowy klucz bezpieczeństwa lub klucz formularza. Proszę odświeżyć stronę."
"Cache Storage Management", "Zarządzanie przechowywaniem cache"
"Flush Magento Cache", "Wyczyść pamięć podręczną Magento"
"The cache storage may contain additional data. Are you sure that you want to flush it?", "W pamięci podręcznej mogą znajdować się dodatkowe dane. Czy na pewno chcesz wszystko wyczyścić?"
"Flush Cache Storage", "Wyczyść całą pamięć podręczną"
"Invalidated", "Unieważniony"
"Orders", "Zamówienia"
"Amounts", "Ilości"
"Bestsellers", "Bestsellery"
"Most Viewed Products", "Najczęściej oglądane"
"New Customers", "Nowi klienci"
"Customer", "Klient"
"Guest", "Gość"
"Items", "Pozycje"
"Total", "Suma"
"Lifetime Sales", "Całkowita wartość sprzedaży"
"Average Order", "Średnia wartość zamówienia"
"Average", "Średnia"
"Views", "Widoki"
"Revenue", "Dochód"
"Tax", "Podatek"
"Shipping", "Dostawa"
"Images (.gif, .jpg, .png)", "Obrazki (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)", "Media (.avi, .flv, .swf)"
"All Files", "Wszystkie pliki"
"Reset to Default", "Przywróć domyślne"
"All Store Views", "Wszystkie widoki sklepu"
"What is this?", "Co to jest?"
"Save Account", "Zapisz konto"
"My Account", "Moje konto"
"Account Information", "Dane konta"
"User Name", "Nazwa użytkownika"
"First Name", "Imię"
"Last Name", "Nazwisko"
"Email", "E-mail"
"User Email", "E-mail użytkownika"
"New Password", "Nowe hasło"
"Password Confirmation", "Potwierdzenie hasła"
"Interface Locale", "Język interfejsu"
"Current User Identity Verification", "Weryfikacja tożsamości użytkownika"
"Your Password", "Twoje hasło"
"Save Cache Settings", "Zapisz ustawienia cache"
"Catalog Rewrites", "Przekierowania katalogu"
"Refresh", "Odśwież"
"Images Cache", "Cache obrazków"
"Clear", "Wyczyść"
"Search Index", "Indeks wyszukiwania"
"Rebuild", "Przebuduj"
"Inventory Stock Status", "Status stanu magazynowego"
"Rebuild Catalog Index", "Przebuduj indeks katalogu"
"Rebuild Flat Catalog Category", "Przebuduj płaski katalog kategorii"
"Rebuild Flat Catalog Product", "Przebuduj płaski katalog produktów"
"Cache Control", "Kontrola cache"
"All Cache", "Cała pamięć cache"
"No change", "Bez zmian"
"Disable", "Wyłącz"
"Enable", "Włącz"
"Add Design Change", "Dodaj zmianę wyglądu"
"Delete", "Usuń"
"Save", "Zapisz"
"Edit Design Change", "Edycja zmiany wyglądu"
"New Store Design Change", "Nowa zmiana wyglądu sklepu"
"General Settings", "Ustawienia ogólne"
"Custom Design", "Indywidualny wygląd"
"Date From", "Data od"
"Date To", "Data do"
"Design Change", "Zmiana wyglądu"
"General", "Ogólne"
"Delete %1 '%2'", "Usuń %1 ""%2"""
"Delete %1", "Usuń %1"
"Block Information", "Informacje o bloku"
"Backup Options", "Opcje kopii zapasowej"
"Create DB Backup", "Utwórz kopię bazy danych"
"Delete Store", "Usuń sklep"
"Delete Web Site", "Usuń witrynę"
"Save Web Site", "Zapisz witrynę"
"Save Store", "Zapisz sklep"
"Save Store View", "Zapisz widok sklepu"
"Delete Store View", "Usuń widok sklepu"
"Edit Web Site", "Edytuj witrynę"
"New Web Site", "Nowa witryna"
"Edit Store", "Edytuj sklep"
"New Store", "Nowy sklep"
"Edit Store View", "Edycja widoku sklepu"
"New Store View", "Nowy widok sklepu"
"Store Information", "Informacje o sklepie"
"Web Site", "Witryna"
"Name", "Nazwa"
"Code", "Kod"
"Root Category", "Kategoria bazowa"
"Default Store View", "Domyślny widok sklepu"
"Store View Information", "Informacje o widoku sklepu"
"Disabled", "Wyłączone"
"Web Site Information", "Informacje o witrynie"
"Default Store", "Domyślny sklep"
"Set as Default", "Ustaw jako domyślne"
"Stores", "Sklepy"
"Create Website", "Utwórz witrynę"
"Create Store", "Utwórz sklep"
"Create Store View", "Utwórz widok sklepu"
"Home", "Strona główna"
"Are you sure you want to do this?", "Czy na pewno chcesz to zrobić?"
"Add New Image", "Dodaj nowy obraz"
"Export block for grid %1 is not defined", "Nie zdefiniowano bloku eksportu dla tabeli %1"
"Reset Filter", "Zresetuj filtr"
"Search", "Szukaj"
"Any", "Dowolny"
"All Countries", "Wszystkie kraje"
"From", "Od"
"To", "Do"
"Date selector", "Selektor daty"
"[ deleted ]", "[ usunięty ]"
" [deleted]", " [usunięty]"
"Add New", "Dodaj nowe"
"Invalid export type supplied for grid export block", "Nieprawidłowy typ eksportu zastosowany dla bloku eksportu tabeli"
"Please correct the column format and try again.", "Popraw format kolumny i spróbuj ponownie."
"An item needs to be selected. Select and try again.", "Należy wybrać element. Wybierz i spróbuj ponownie."
"Submit", "Wyślij"
"Unknown block type", "Nieznany typ bloku"
"Please correct the tab configuration and try again. Tab Id should be not empty", "Proszę poprawić konfigurację karty i spróbować ponownie. Identyfikator karty nie może być pusty"
"Please correct the tab configuration and try again.", "Popraw konfigurację karty i spróbuj ponownie."
"You have logged out.", "Wylogowanie zakończone."
"These cache type(s) don't exist: %1", "Te typy pamięci podręcznej nie istnieją: %1"
"The image cache was cleaned.", "Cache obrazków został wyczyszczony."
"An error occurred while clearing the image cache.", "Wystąpił błąd podczas czyszczenia pamięci cache obrazków."
"The JavaScript/CSS cache has been cleaned.", "Cache JavaScript/CSS został wyczyszczony."
"An error occurred while clearing the JavaScript/CSS cache.", "Wystąpił błąd podczas czyszczenia pamięci cache JavaScript/CSS."
"The static files cache has been cleaned.", "Odświeżono pamięć podręczną plików statycznych."
"You flushed the cache storage.", "Odświeżono wszystkie pamięci podręczne."
"The Magento cache storage has been flushed.", "Składowanie cache Magento zostało opróżnione."
"Cache Management", "Pamięć podręczna"
"You can't change status of cache type(s) in production mode", "Nie można zmienić stanu typów pamięci podręcznej w trybie produkcyjnym"
"%1 cache type(s) disabled.", "Pomyślnie wyłączone pamięci podręczne: %1."
"An error occurred while disabling cache.", "Wystąpił błąd podczas wyłączania pamięci podręcznej."
"%1 cache type(s) enabled.", "Pomyślnie włączone pamięci podręczne: %1."
"An error occurred while enabling cache.", "Wystąpił błąd podczas włączania pamięci podręcznej."
"%1 cache type(s) refreshed.", "Pomyślnie odświeżone pamięci podręczne: %1."
"An error occurred while refreshing cache.", "Wystąpił błąd podczas odświeżania pamięci podręcznej."
"Dashboard", "Panel"
"My Dashboard", "Mój panel konta"
"We updated lifetime statistic.", "Zaktualizowaliśmy statystyki."
"We can't refresh lifetime statistics.", "Nie możemy odświeżyć statystyki życia."
"invalid request", "nieprawidłowe zapytanie"
"see error log for details", "zobacz szczegóły w logu błędów"
"Service unavailable: %1", "Usługa niedostępna: %1"
"Access Denied.", "Dostęp zabroniony."
"You need more permissions to do this.", "Potrzebujesz więcej uprawnień do wykonania tego."
"No search modules were registered", "Brak zarejestrowanych modułów wyszukiwania"
"Please make sure that all global admin search modules are installed and activated.", "Upewnij się, że wszystkie globalne moduły wyszukiwania są zainstalowane i aktywowane."
"You saved the account.", "Szczegóły konta zostały zapisane."
"An error occurred while saving account.", "Wystąpił błąd podczas zapisywania konta."
"You deleted the design change.", "Zmiana projektowa została usunięta."
"You can't delete the design change.", "Nie można usunąć zmiany projektowej."
"Store Design", "Design sklepu"
"Edit Store Design Change", "Edytuj zmianę projektową sklepu"
"You saved the design change.", "Zmiana projektowa została zapisana."
"System", "System"
"Manage Stores", "Zarządzaj sklepami"
"The database was backed up.", "Kopia zapasowa bazy danych została utworzona."
"We can't create a backup right now. Please try again later.", "Nie można teraz utworzyć kopii zapasowej. Proszę spróbować później."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.", "Usunięcie %1 nie spowoduje usunięcia informacji powiązanych z %1 (np. kategorii, produktów itp.), ale %1 nie będzie mógł być odtworzony. Zalecane jest utworzenie kopii zapasowej bazy danych przed usunięciem %1."
"Something went wrong. Please try again.", "Coś poszło nie tak. Proszę spróbować ponownie."
"This store cannot be deleted.", "Ten sklep nie może być usunięty."
"You deleted the store.", "Usunięto sklep."
"Unable to delete the store. Please try again later.", "Nie można było usunąć sklepu. Proszę spróbować jeszcze raz później."
"This store view cannot be deleted.", "Ten widok sklepu nie może być usunięty."
"Store View", "Widok sklepu"
"You deleted the store view.", "Usunięto widok sklepu."
"Unable to delete the store view. Please try again later.", "Nie można było usunąć widoku sklepu. Proszę spróbować jeszcze raz później."
"This website cannot be deleted.", "Ta witryna nie może zostać usunięta."
"You deleted the website.", "Usunięto witrynę."
"Unable to delete the website. Please try again later.", "Nie można było usunąć witryny. Proszę spróbować jeszcze raz później."
"The website does not exist.", "Witryna nie istnieje."
"Before modifying the website code please make sure it is not used in index.php.", "Przed modyfikacją kodu strony sklepu upewnij się, że nie jest on używany w index.php."
"The store does not exist", "Sklep nie istnieje"
"Store view doesn't exist", "Widok sklepu nie istnieje"
"Before modifying the store view code please make sure it is not used in index.php.", "Przed modyfikacją kodu widoku sklepu upewnij się, że nie jest on używany w index.php."
"New ", "Nowy "
"All Stores", "Wszystkie sklepy"
"Please enable your Store View before using this Web Site as Default", "Przed użyciem tej witryny internetowej jako domyślnej włącz widok Sklepu"
"You saved the website.", "Zapisano witrynę."
"The default store cannot be disabled", "Domyślny sklep nie może zostać wyłączony"
"You saved the store view.", "Zapisano widok sklepu."
"An inactive store view cannot be saved as default store view", "Nieaktywny widok sklepu nie możne zostać zapisany jako widok domyślny"
"You saved the store.", "Zapisano sklep."
"Something went wrong while saving. Please review the error log.", "Coś się zepsuło podczas zapisywania. Przejrzyj dziennik błędów."
"Authentication storage is incorrect.", "Magazyn uwierzytelnienia jest niepoprawny."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.", "Nieprawidłowa nazwa użytkownika i/lub hasło."
"An authentication error occurred. Verify and try again.", "Wystąpił błąd uwierzytelniania. Sprawdź i spróbuj ponownie."
"The Admin session lifetime is invalid. Set the lifetime to 31536000 seconds (one year) or shorter and try again.", "Okres istnienia sesji administracyjnej jest nieprawidłowy. Ustaw czas życia na 31536000 sekund (jeden rok) lub krótszy i spróbuj ponownie."
"The Admin session lifetime is invalid. Set the lifetime to 60 seconds or longer and try again.", "Okres istnienia sesji administracyjnej jest nieprawidłowy. Ustaw czas życia na 60 sekund lub dłużej i spróbuj ponownie."
"Last 24 Hours", "Ostatnie 24 godziny"
"Last 7 Days", "Ostatnie 7 dni"
"Current Month", "Bieżący miesiąc"
"YTD", "Od początku roku"
"2YTD", "Od dwóch lat"
"Order", "Zamówienie"
"Order #%1", "Zamówienie #%1"
"URL key ""%1"" matches a reserved endpoint name (%2). Use another URL key.", "URL key ""%1"" matches a reserved endpoint name (%2). Use another URL key."
"Save &amp; Continue", "Zapisz &amp; kontynuuj"
"Save &amp; Close", "Zapisz &amp; zamknij"
"Save &amp; New", "Zapisz &amp; nowy"
"Sorry, you need permissions to view this content.", "Nie posiadasz uprawnień do podglądu tego załącznika."
"Next steps", "Następne kroki"
"If you think this is an error, try signing out and signing in again.", "Jeśli uważasz, że to błąd, spróbuj się wylogować i zalogować ponownie."
"Contact a system administrator or store owner to gain permissions.", "Skontaktuj się z administratorem systemu lub właścicielem sklepu, aby uzyskać uprawnienia."
"Return to ", "Powrót do "
"previous page", "poprzednia strona"
".", "."
"Welcome, please sign in", "Zaloguj się"
"Username", "Nazwa użytkownika"
"user name", "nazwa użytkownika"
"Password", "Hasło"
"password", "hasło"
"Sign in", "Zaloguj się"
"No Data Found", "Nie znaleziono danych"
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.", "Kliknij <a href=""%1"">tutaj</a>, aby włączyć wykres."
"Select Range:", "Wybierz zakres:"
"Last Orders", "Ostatnie zamówienia"
"Last Search Terms", "Ostatnio wyszukiwane hasła"
"Top Search Terms", "Najpopularniejsze wyszukiwania"
"There are no search keywords.", "Nie ma słów kluczowych."
"View Statistics For:", "Zobacz statystyki dla:"
"All Websites", "Wszystkie witryny"
"Reload Data", "Przeładuj dane"
"Browse Files...", "Przeglądaj pliki..."
"Magento", "Magento"
